,Course_Code,Course,Points1,Points2
655,NC023,Technology Management (with specialisations)      ,266,
656,Course_Code,Course,Points1,Points2
657,NC030,Early Childhood Education and Care                ,251,251
658,Course_Code,Course,Points1,Points2
659,RC001,Medicine - Undergraduate Entry (HPAT required)    ,#741,#740*
660,Course_Code,Course,Points1,Points2
661,RC004,Physiotherapy                                     ,589*,589*
662,Course_Code,Course,Points1,Points2
663,RC005,Pharmacy                                          ,613*,613
664,Course_Code,Course,Points1,Points2
665,RC101,Medicine - Graduate Entry (GAMSAT required)       ,,
666,Course_Code,Course,Points1,Points2
667,NM801,Montessori Education                              ,262,
668,Course_Code,Course,Points1,Points2
669,NM802,Psychology                                        ,228,
670,Course_Code,Course,Points1,Points2
671,TU801,Sustainable Energy Engineering                    ,235,
672,Course_Code,Course,Points1,Points2
673,TU802,Electrical Services and Energy Management         ,309,
674,Course_Code,Course,Points1,Points2
675,TU804,Engineering (Common Entry with Award options)     ,270,
676,Course_Code,Course,Points1,Points2
677,TU805,Engineering (General Entry)                       ,466,465
678,Course_Code,Course,Points1,Points2
679,TU807,Computer Engineering in Mobile Systems            ,274,
680,Course_Code,Course,Points1,Points2
681,TU810,Mechatronic Engineering                           ,271,
682,Course_Code,Course,Points1,Points2
683,TU811,Product Design                                    ,440,434
684,Course_Code,Course,Points1,Points2
685,TU812,Design Technology and Innovation                  ,278,
686,Course_Code,Course,Points1,Points2
687,TU814,Sustainable Transport Management                  ,253,253
688,Course_Code,Course,Points1,Points2
689,TU828,Mechanical Engineering (General Entry)            ,300,
690,Course_Code,Course,Points1,Points2
691,TU829,Electronic Engineering (General Entry)            ,248,248
692,Course_Code,Course,Points1,Points2
693,TU831,Architectural Technology                          ,423,
694,Course_Code,Course,Points1,Points2
695,TU832,Architecture (Suitability Test and Interview)     ,#644,#638
696,Course_Code,Course,Points1,Points2
697,TU833,Construction Management                           ,396,
698,Course_Code,Course,Points1,Points2
699,TU834,Geographic Science                                ,315,
700,Course_Code,Course,Points1,Points2
701,TU835,Planning and Environmental Management             ,330,
702,Course_Code,Course,Points1,Points2
703,TU836,Property Economics (Valuation Surveying)          ,411,
704,Course_Code,Course,Points1,Points2
705,TU837,Quantity Surveying and Construction Economics     ,413,
706,Course_Code,Course,Points1,Points2
707,TU838,Sustainable Timber Technology                     ,307,271
708,Course_Code,Course,Points1,Points2
709,TU851,Analytical Chemistry (Environmental  Forensic and ,400,
710,Course_Code,Course,Points1,Points2
711,TU852,Chemical Sciences with Medicinal Chemistry        ,477,
712,Course_Code,Course,Points1,Points2
713,TU854,Science (General Entry)                           ,510,
714,Course_Code,Course,Points1,Points2
715,TU855,Science with Nanotechnology                       ,322,
716,Course_Code,Course,Points1,Points2
717,TU856,Computer Science                                  ,499,
718,Course_Code,Course,Points1,Points2
719,TU857,Computer Science (Infrastructure)                 ,403,
720,Course_Code,Course,Points1,Points2
721,TU858,Computer Science (International)                  ,395,
722,Course_Code,Course,Points1,Points2
723,TU859,Computing                                         ,251,
724,Course_Code,Course,Points1,Points2
725,TU860,Computing (Information Technology)                ,270,
726,Course_Code,Course,Points1,Points2
727,TU861,Computing with Language (French/German/Spanish)   ,235,235
728,Course_Code,Course,Points1,Points2
729,TU862,Computing with Artificial Intelligence Machine Lea,262,
730,Course_Code,Course,Points1,Points2
731,TU863,Digital Forensics and Cyber Security              ,282,
732,Course_Code,Course,Points1,Points2
733,TU864,DNA and Forensic Analysis                         ,500,441
734,Course_Code,Course,Points1,Points2
735,TU865,Cloud Computing                                   ,235,
736,Course_Code,Course,Points1,Points2
737,TU866,Biomedical and Molecular Diagnostics              ,522,
738,Course_Code,Course,Points1,Points2
739,TU867,Biomedical Science                                ,576,566*
740,Course_Code,Course,Points1,Points2
741,TU868,Clinical Measurement Science                      ,542,
742,Course_Code,Course,Points1,Points2
743,TU869,Environmental Health                              ,387,
744,Course_Code,Course,Points1,Points2
745,TU870,Human Nutrition and Dietetics                     ,601*,
746,Course_Code,Course,Points1,Points2
747,TU871,Optometry                                         ,532,
748,Course_Code,Course,Points1,Points2
749,TU872,Public Health Nutrition                           ,487,
750,Course_Code,Course,Points1,Points2
751,TU874,Mathematical Sciences                             ,294,294
752,Course_Code,Course,Points1,Points2
753,TU875,Pharmaceutical Healthcare                         ,451,
754,Course_Code,Course,Points1,Points2
755,TU876,Pharmaceutical Science                            ,445,
756,Course_Code,Course,Points1,Points2
757,TU877,Physics Technology                                ,314,314
758,Course_Code,Course,Points1,Points2
759,TU878,Physics with Energy and Environment               ,339,
760,Course_Code,Course,Points1,Points2
761,TU879,Physics with Medical Physics and Bioengineering   ,346,
762,Course_Code,Course,Points1,Points2
763,TU880,Physics with Data Science                         ,412,
764,Course_Code,Course,Points1,Points2
765,TU881,Food Innovation                                   ,309,
766,Course_Code,Course,Points1,Points2
767,TU882,Nutraceuticals in Health and Nutrition            ,380,
768,Course_Code,Course,Points1,Points2
769,TU902,Business (options)                                ,270,
770,Course_Code,Course,Points1,Points2
771,TU903,Business and Management                           ,477,
772,Course_Code,Course,Points1,Points2
773,TU904,Business and Law                                  ,462,
774,Course_Code,Course,Points1,Points2
775,TU905,Economics and Finance                             ,460,
776,Course_Code,Course,Points1,Points2
777,TU906,Human Resource Management                         ,386,377
778,Course_Code,Course,Points1,Points2
779,TU907,Logistics and Supply Chain Management             ,300,
780,Course_Code,Course,Points1,Points2
781,TU910,Accounting                                        ,420,
782,Course_Code,Course,Points1,Points2
783,TU912,Business Analytics                                ,331,311
784,Course_Code,Course,Points1,Points2
785,TU914,Business Computing                                ,322,
786,Course_Code,Course,Points1,Points2
787,TU917,Law (LLB ) with a Language                        ,356,
788,Course_Code,Course,Points1,Points2
789,TU918,Law (LLB)                                         ,463,
790,Course_Code,Course,Points1,Points2
791,TU919,Advertising and Marketing Communications          ,219,
792,Course_Code,Course,Points1,Points2
793,TU920,Digital Marketing                                 ,270,
794,Course_Code,Course,Points1,Points2
795,TU921,Digital Marketing Technologies                    ,230,
796,Course_Code,Course,Points1,Points2
797,TU922,Marketing                                         ,412,
798,Course_Code,Course,Points1,Points2
799,TU924,E-Commerce in Retailing                           ,307,
800,Course_Code,Course,Points1,Points2
801,TU925,Retail and Services Management                    ,307,
802,Course_Code,Course,Points1,Points2
803,TU932,Business (options)                                ,211,
804,Course_Code,Course,Points1,Points2
805,TU933,Accounting and Finance (campus options)           ,251,
806,Course_Code,Course,Points1,Points2
807,TU935,Sports Management and Coaching                    ,300,
808,Course_Code,Course,Points1,Points2
809,TU936,Sports Science and Health                         ,484,
810,Course_Code,Course,Points1,Points2
811,TU941,Botanical Cuisine                                 ,311,
812,Course_Code,Course,Points1,Points2
813,TU942,Culinary Arts                                     ,252,
814,Course_Code,Course,Points1,Points2
815,TU943,Culinary Entrepreneurship                         ,261,
816,Course_Code,Course,Points1,Points2
817,TU944,Culinary Science                                  ,336,
818,Course_Code,Course,Points1,Points2
819,TU951,International Hospitality and Tourism Management  ,244,
820,Course_Code,Course,Points1,Points2
821,TU952,International Hospitality Management              ,309,
822,Course_Code,Course,Points1,Points2
823,TU953,Tourism and Digital Marketing                     ,308,
824,Course_Code,Course,Points1,Points2
825,TU954,Event Management                                  ,326,
826,Course_Code,Course,Points1,Points2
827,TU955,Sports and Leisure Management                     ,275,
828,Course_Code,Course,Points1,Points2
829,TU961,Commercial Modern Music (BIMM - assessment/auditio,#536,#536
830,Course_Code,Course,Points1,Points2
831,TU962,Drama (Performance  audition)                     ,#448,
832,Course_Code,Course,Points1,Points2
833,TU963,Music (audition)                                  ,#364,
834,Course_Code,Course,Points1,Points2
835,TU965,International Business and Languages              ,357,
836,Course_Code,Course,Points1,Points2
837,TU967,Languages and International Tourism               ,298,
838,Course_Code,Course,Points1,Points2
839,TU973,Design - Visual Communication (portfolio)         ,#700,
840,Course_Code,Course,Points1,Points2
841,TU974,Fine Art (portfolio)                              ,#549,
842,Course_Code,Course,Points1,Points2
843,TU975,Interior Design (portfolio)                       ,#544,
844,Course_Code,Course,Points1,Points2
845,TU976,Photography (portfolio)                           ,#700,
846,Course_Code,Course,Points1,Points2
847,TU978,Creative Industries and Visual Culture            ,299,
848,Course_Code,Course,Points1,Points2
849,TU981,Creative Digital Media                            ,280,
850,Course_Code,Course,Points1,Points2
851,TU982,Media Production and Digital Arts                 ,369,
852,Course_Code,Course,Points1,Points2
853,TU983,Film and Broadcasting                             ,462,453
854,Course_Code,Course,Points1,Points2
855,TU984,Game Design                                       ,414,
856,Course_Code,Course,Points1,Points2
857,TU985,Journalism                                        ,367,
858,Course_Code,Course,Points1,Points2
859,TU989,Early Childhood Care and Education (campus options,270,
860,Course_Code,Course,Points1,Points2
861,TU991,Applied Social Studies in Social Care             ,326,
862,Course_Code,Course,Points1,Points2
863,TU992,Community Development and Youth Work              ,251,
864,Course_Code,Course,Points1,Points2
865,TU995,Early Childhood Education                         ,378,
866,Course_Code,Course,Points1,Points2
867,TU996,Social Care                                       ,407,
868,Course_Code,Course,Points1,Points2
869,TU997,Applied Social Care                               ,320,
870,Course_Code,Course,Points1,Points2
871,TR002,Music                                             ,508,477*
872,Course_Code,Course,Points1,Points2
873,TR003,History                                           ,552,543*
874,Course_Code,Course,Points1,Points2
875,TR004,Law                                               ,590*,589
876,Course_Code,Course,Points1,Points2
877,TR005,Philosophy                                        ,510,497
878,Course_Code,Course,Points1,Points2
879,TR006,Psychology                                        ,601*,590
880,Course_Code,Course,Points1,Points2
881,TR007,Clinical Speech and Language Studies              ,564*,
882,Course_Code,Course,Points1,Points2
883,TR009,Music Education                                   ,#496,#486
884,Course_Code,Course,Points1,Points2
885,TR015,Philosophy  Political Science  Economics and Socio,613*,613*
886,Course_Code,Course,Points1,Points2
887,TR016,Deaf Studies                                      ,389,
888,Course_Code,Course,Points1,Points2
889,TR018,Law and French                                    ,602*,602
890,Course_Code,Course,Points1,Points2
891,TR019,Law and German                                    ,577,567
892,Course_Code,Course,Points1,Points2
893,TR021,Classics  Ancient History and Archaeology         ,467,462
894,Course_Code,Course,Points1,Points2
895,TR022,Early and Modern Irish                            ,377,
896,Course_Code,Course,Points1,Points2
897,TR023,English Studies                                   ,546,541*
898,Course_Code,Course,Points1,Points2
899,TR024,European Studies                                  ,566,
900,Course_Code,Course,Points1,Points2
901,TR025,Drama and Theatre Studies                         ,#543,#519
902,Course_Code,Course,Points1,Points2
903,TR028,Ancient and Medieval History and Culture          ,498,463
904,Course_Code,Course,Points1,Points2
905,TR031,Mathematics                                       ,579,578
906,Course_Code,Course,Points1,Points2
907,TR032,Engineering                                       ,556,555
908,Course_Code,Course,Points1,Points2
909,TR033,Computer Science                                  ,566*,549
910,Course_Code,Course,Points1,Points2
911,TR034,Management Science and Information Systems Studies,625*,625*
912,Course_Code,Course,Points1,Points2
913,TR035,Theoretical Physics                               ,590,589*
914,Course_Code,Course,Points1,Points2
915,TR038,Engineering with Management                       ,589*,589*
916,Course_Code,Course,Points1,Points2
917,TR039,Computer Science  Linguistics and a Language      ,443,
918,Course_Code,Course,Points1,Points2
919,TR040,Middle Eastern and European Languages and Cultures,520,499
920,Course_Code,Course,Points1,Points2
921,TR041,Religion                                          ,417,
922,Course_Code,Course,Points1,Points2
923,TR042,Film                                              ,531,522
924,Course_Code,Course,Points1,Points2
925,TR043,History of Art and Architecture                   ,498,486
926,Course_Code,Course,Points1,Points2
927,TR051,Medicine (HPAT required)                          ,#743*,#743*
928,Course_Code,Course,Points1,Points2
929,TR052,Dental Science                                    ,625*,625*
930,Course_Code,Course,Points1,Points2
931,TR053,Physiotherapy                                     ,590*,
932,Course_Code,Course,Points1,Points2
933,TR054,Occupational Therapy                              ,578*,577*
934,Course_Code,Course,Points1,Points2
935,TR055,Radiation Therapy                                 ,577,566
936,Course_Code,Course,Points1,Points2
937,TR056,Human Health and Disease                          ,601*,
938,Course_Code,Course,Points1,Points2
939,TR060,Biological and Biomedical Sciences                ,578*,577*
940,Course_Code,Course,Points1,Points2
941,TR061,Chemical Sciences                                 ,558,554*
942,Course_Code,Course,Points1,Points2
943,TR062,Geography and Geoscience                          ,495,
944,Course_Code,Course,Points1,Points2
945,TR063,Physical Sciences                                 ,554,543
946,Course_Code,Course,Points1,Points2
947,TR064,Environmental Science and Engineering             ,555,
948,Course_Code,Course,Points1,Points2
949,TR072,Pharmacy                                          ,613*,613*
950,Course_Code,Course,Points1,Points2
951,TR080,Global Business                                   ,613*,
952,Course_Code,Course,Points1,Points2
953,TR081,Business  Economic and Social Studies (BESS)      ,577,567*
954,Course_Code,Course,Points1,Points2
955,TR084,Social Studies (Social Work)                      ,497,487*
956,Course_Code,Course,Points1,Points2
957,TR085,Business Studies and French                       ,564,
958,Course_Code,Course,Points1,Points2
959,TR086,Business Studies and German                       ,530,
960,Course_Code,Course,Points1,Points2
961,TR087,Business Studies and Russian                      ,487,
962,Course_Code,Course,Points1,Points2
963,TR089,Business Studies and Polish                       ,391,
964,Course_Code,Course,Points1,Points2
965,TR090,Business Studies and Spanish                      ,566,
966,Course_Code,Course,Points1,Points2
967,TR091,General Nursing (Meath and St James`s)            ,462,456*
968,Course_Code,Course,Points1,Points2
969,TR093,General Nursing (Adelaide School of Nursing)      ,#473,
970,Course_Code,Course,Points1,Points2
971,TR095,Mental Health Nursing                             ,442,
972,Course_Code,Course,Points1,Points2
973,TR097,Intellectual Disability Nursing                   ,412,410
974,Course_Code,Course,Points1,Points2
975,TR911,Children`s and General Nursing (Integrated)       ,531*,
976,Course_Code,Course,Points1,Points2
977,TR913,Midwifery                                         ,521,
978,Course_Code,Course,Points1,Points2
979,DN100,Architecture                                      ,555,
980,Course_Code,Course,Points1,Points2
981,DN120,Landscape Architecture                            ,463,435
982,Course_Code,Course,Points1,Points2
983,DN130,City Planning and Environmental Policy            ,445,424
984,Course_Code,Course,Points1,Points2
985,DN150,Engineering (Common Entry)                        ,565*,
986,Course_Code,Course,Points1,Points2
987,DN200,Science (options)                                 ,577,567
988,Course_Code,Course,Points1,Points2
989,DN201,Computer Science (Common Entry)                   ,554,549
990,Course_Code,Course,Points1,Points2
991,DN230,Actuarial and Financial Studies                   ,613*,613*
992,Course_Code,Course,Points1,Points2
993,DN240,Sustainability                                    ,510,
994,Course_Code,Course,Points1,Points2
995,DN250,Agricultural Science (options)                    ,454,444
996,Course_Code,Course,Points1,Points2
997,DN261,Food Science                                      ,531,
998,Course_Code,Course,Points1,Points2
999,DN262,Human Nutrition                                   ,566,
1000,Course_Code,Course,Points1,Points2
1001,DN300,Veterinary Medicine - Undergraduate Entry         ,#601*,
1002,Course_Code,Course,Points1,Points2
1003,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,
1004,Course_Code,Course,Points1,Points2
1005,DN310,Veterinary Nursing                                ,521,509
1006,Course_Code,Course,Points1,Points2
1007,DN400,Medicine - Undergraduate Entry (HPAT required)    ,#743*,
1008,Course_Code,Course,Points1,Points2
1009,DN401,Medicine - Graduate Entry (GAMSAT required)       ,#61*,
1010,Course_Code,Course,Points1,Points2
1011,DN410,Radiography                                       ,566*,566*
1012,Course_Code,Course,Points1,Points2
1013,DN411,Radiography - Graduate Entry                      ,#,
1014,Course_Code,Course,Points1,Points2
1015,DN420,Physiotherapy                                     ,601*,601*
1016,Course_Code,Course,Points1,Points2
1017,DN425,Health and Performance Science                    ,544,543
1018,Course_Code,Course,Points1,Points2
1019,DN430,Sport and Exercise Management                     ,484,476
1020,Course_Code,Course,Points1,Points2
1021,DN440,Biomedical  Health and Life Sciences              ,613*,613*
1022,Course_Code,Course,Points1,Points2
1023,DN450,General Nursing                                   ,462*,
1024,Course_Code,Course,Points1,Points2
1025,DN451,Children`s and General Nursing (Integrated)       ,533,
1026,Course_Code,Course,Points1,Points2
1027,DN452,Midwifery                                         ,510,509*
1028,Course_Code,Course,Points1,Points2
1029,DN453,Mental Health Nursing                             ,442,
1030,Course_Code,Course,Points1,Points2
1031,DN520,Joint Honours (options)                           ,381,378
1032,Course_Code,Course,Points1,Points2
1033,DN530,Humanities (options)                              ,397,388
1034,Course_Code,Course,Points1,Points2
1035,DN541,Modern Languages (options)                        ,320,
1036,Course_Code,Course,Points1,Points2
1037,DN600,Law (options)                                     ,576,567*
1038,Course_Code,Course,Points1,Points2
1039,DN610,Business and Law                                  ,573,567
1040,Course_Code,Course,Points1,Points2
1041,DN650,Commerce                                          ,555,
1042,Course_Code,Course,Points1,Points2
1043,DN660,Commerce International (options)                  ,555,554*
1044,Course_Code,Course,Points1,Points2
1045,DN670,Economics and Finance                             ,625*,625
1046,Course_Code,Course,Points1,Points2
1047,DN700,Social Sciences (options)                         ,475,474
1048,Course_Code,Course,Points1,Points2
1049,DN710,Economics                                         ,534,532*
1050,Course_Code,Course,Points1,Points2
1051,DN720,Psychology                                        ,566,564
1052,Course_Code,Course,Points1,Points2
1053,DN750,Social Policy and Sociology                       ,421,
1054,Course_Code,Course,Points1,Points2
1055,DK810,Accounting and Finance                            ,307,307
1056,Course_Code,Course,Points1,Points2
1057,DK816,Business Studies                                  ,301,301
1058,Course_Code,Course,Points1,Points2
1059,DK820,Computing in Games Development                    ,309,309
1060,Course_Code,Course,Points1,Points2
1061,DK821,Computing in Software Development                 ,320,316
1062,Course_Code,Course,Points1,Points2
1063,DK822,Augmented and Virtual Reality                     ,320,320
1064,Course_Code,Course,Points1,Points2
1065,DK830,Building Surveying                                ,305,
1066,Course_Code,Course,Points1,Points2
1067,DK831,Architectural Technology                          ,368,314
1068,Course_Code,Course,Points1,Points2
1069,DK832,Construction Management                           ,358,305
1070,Course_Code,Course,Points1,Points2
1071,DK843,Engineering (Common Entry)                        ,404,391
1072,Course_Code,Course,Points1,Points2
1073,DK844,Mechanical Engineering                            ,336,336
1074,Course_Code,Course,Points1,Points2
1075,DK845,Electrical and Electronic Engineering             ,331,331
1076,Course_Code,Course,Points1,Points2
1077,DK846,Civil Engineering                                 ,371,371
1078,Course_Code,Course,Points1,Points2
1079,DK850,International Tourism Management                  ,303,303
1080,Course_Code,Course,Points1,Points2
1081,DK861,Arts                                              ,302,302
1082,Course_Code,Course,Points1,Points2
1083,DK862,Social Care                                       ,322,319
1084,Course_Code,Course,Points1,Points2
1085,DK863,Creative Media                                    ,336,320
1086,Course_Code,Course,Points1,Points2
1087,DK864,Film and Television Production                    ,308,
1088,Course_Code,Course,Points1,Points2
1089,DK865,Audio and Music Production                        ,352,
1090,Course_Code,Course,Points1,Points2
1091,DK870,General Nursing                                   ,440*,440*
1092,Course_Code,Course,Points1,Points2
1093,DK872,Intellectual Disability Nursing                   ,367,366
1094,Course_Code,Course,Points1,Points2
1095,DK874,Mental Health Nursing                             ,398,
1096,Course_Code,Course,Points1,Points2
1097,DK876,Early Childhood Studies                           ,300,
1098,Course_Code,Course,Points1,Points2
1099,DK877,Midwifery                                         ,482,477
1100,Course_Code,Course,Points1,Points2
1101,DK880,Health and Physical Activity                      ,301,
1102,Course_Code,Course,Points1,Points2
1103,DK882,Agriculture (Award options)                       ,342,
1104,Course_Code,Course,Points1,Points2
1105,DK883,Science (Award options)                           ,373,368
1106,Course_Code,Course,Points1,Points2
1107,DK884,Sustainable Agriculture                           ,348,
1108,Course_Code,Course,Points1,Points2
1109,DK885,Agri-Food Production                              ,,
1110,Course_Code,Course,Points1,Points2
1111,DK886,Biopharmaceutical Science                         ,379,
1112,Course_Code,Course,Points1,Points2
1113,DK887,Environmental Science                             ,377,
1114,Course_Code,Course,Points1,Points2
1115,GA181,Accounting                                        ,303,
1116,Course_Code,Course,Points1,Points2
1117,GA182,Business                                          ,285,
1118,Course_Code,Course,Points1,Points2
1119,GA183,Business Information Systems                      ,298,
1120,Course_Code,Course,Points1,Points2
1121,GA184,Marketing and Sales                               ,300,
1122,Course_Code,Course,Points1,Points2
1123,GA185,Finance and Economics                             ,318,
1124,Course_Code,Course,Points1,Points2
1125,GA186,Business with Entrepreneurship                    ,287,
1126,Course_Code,Course,Points1,Points2
1127,GA187,Rural Enterprise and Agri-Business                ,291,
1128,Course_Code,Course,Points1,Points2
1129,GA281,Film and Documentary                              ,310,301
1130,Course_Code,Course,Points1,Points2
1131,GA282,Heritage Studies                                  ,252,
1132,Course_Code,Course,Points1,Points2
1133,GA283,Contemporary Art (portfolio)                      ,#790,
1134,Course_Code,Course,Points1,Points2
1135,GA284,Design                                            ,331,
1136,Course_Code,Course,Points1,Points2
1137,GA285,Education (Art  Design and Graphics)              ,406,
1138,Course_Code,Course,Points1,Points2
1139,GA380,International Hotel Management                    ,218,
1140,Course_Code,Course,Points1,Points2
1141,GA381,International Tourism Management                  ,252,
1142,Course_Code,Course,Points1,Points2
1143,GA382,Culinary and Gastronomic Science                  ,235,
1144,Course_Code,Course,Points1,Points2
1145,GA384,Event Management with Public Relations            ,230,
1146,Course_Code,Course,Points1,Points2
1147,GA480,Construction Management                           ,302,
1148,Course_Code,Course,Points1,Points2
1149,GA482,Quantity Surveying and Construction Economics     ,304,
1150,Course_Code,Course,Points1,Points2
1151,GA483,Architectural Technology                          ,281,273
1152,Course_Code,Course,Points1,Points2
1153,GA484,Civil Engineering                                 ,377,
1154,Course_Code,Course,Points1,Points2
1155,GA580,Software and Electronic Engineering               ,300,
1156,Course_Code,Course,Points1,Points2
1157,GA680,Mechanical Engineering                            ,400,
1158,Course_Code,Course,Points1,Points2
1159,GA681,Energy Engineering                                ,312,
1160,Course_Code,Course,Points1,Points2
1161,GA682,Biomedical Engineering                            ,331,
1162,Course_Code,Course,Points1,Points2
1163,GA683,Agricultural Engineering                          ,304,
1164,Course_Code,Course,Points1,Points2
1165,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,
1166,Course_Code,Course,Points1,Points2
1167,GA685,Manufacturing Engineering Design                  ,336,
1168,Course_Code,Course,Points1,Points2
1169,GA780,Applied Freshwater and Marine Biology             ,366,
1170,Course_Code,Course,Points1,Points2
1171,GA781,Applied Biology and Biopharmaceutical Science     ,381,
1172,Course_Code,Course,Points1,Points2
1173,GA782,Chemical and Pharmaceutical Science               ,356,
1174,Course_Code,Course,Points1,Points2
1175,GA783,Physics and Instrumentation                       ,301,
1176,Course_Code,Course,Points1,Points2
1177,GA784,Science (Undenominated)                           ,445,
1178,Course_Code,Course,Points1,Points2
1179,GA785,Medical Science                                   ,517,510
1180,Course_Code,Course,Points1,Points2
1181,GA786,Forensic Science and Analysis                     ,408,
1182,Course_Code,Course,Points1,Points2
1183,GA787,Computing in Software Development                 ,310,
1184,Course_Code,Course,Points1,Points2
1185,GA788,Computing and Digital Media                       ,270,
1186,Course_Code,Course,Points1,Points2
1187,GA789,Agriculture and Environmental Management          ,340,
1188,Course_Code,Course,Points1,Points2
1189,GA790,Sport and Exercise Science                        ,376,366
1190,Course_Code,Course,Points1,Points2
1191,GA791,Public Health Nutrition                           ,368,
1192,Course_Code,Course,Points1,Points2
1193,GA880,General Nursing                                   ,440*,
1194,Course_Code,Course,Points1,Points2
1195,GA882,Psychiatric Nursing                               ,369,
1196,Course_Code,Course,Points1,Points2
1197,GA885,Outdoor Education                                 ,269,
1198,Course_Code,Course,Points1,Points2
1199,GA887,History and Geography                             ,201,
1200,Course_Code,Course,Points1,Points2
1201,GA889,Applied Social Care                               ,265,
1202,Course_Code,Course,Points1,Points2
1203,GA890,Early Childhood Education and Care                ,281,227
1204,Course_Code,Course,Points1,Points2
1205,GA891,Geography and Outdoor Education                   ,261,
1206,Course_Code,Course,Points1,Points2
1207,GA892,Community Development and Youth Work (Level 8)    ,,
1208,Course_Code,Course,Points1,Points2
1209,GA980,Education (Design Graphics and Construction)      ,410,
1210,Course_Code,Course,Points1,Points2
1211,GA981,Furniture Design and Manufacture                  ,346,
1212,Course_Code,Course,Points1,Points2
1213,GA982,Furniture Making and Architectural Woodworking    ,360,
1214,Course_Code,Course,Points1,Points2
1215,GA983,Furniture and Digital Manufacturing               ,,
1216,Course_Code,Course,Points1,Points2
1217,GA984,Furniture Design  Making and Technology - Common E,486,467
1218,Course_Code,Course,Points1,Points2
1219,GY101,Arts (Joint-Honours)                              ,327,326
1220,Course_Code,Course,Points1,Points2
1221,GY104,BSc (Psychology)                                  ,564,555
1222,Course_Code,Course,Points1,Points2
1223,GY105,Arts (History)                                    ,357,
1224,Course_Code,Course,Points1,Points2
1225,GY109,Arts (Mathematics and Education)                  ,413,
1226,Course_Code,Course,Points1,Points2
1227,GY110,Arts (Children and Youth Studies - options)       ,387,
1228,Course_Code,Course,Points1,Points2
1229,GY111,Arts (English and Creative Writing)               ,421,420
1230,Course_Code,Course,Points1,Points2
1231,GY113,Arts with Human Rights                            ,413,
1232,Course_Code,Course,Points1,Points2
1233,GY115,Arts with Performing Arts Studies                 ,300,
1234,Course_Code,Course,Points1,Points2
1235,GY118,Arts (Drama  Theatre and Performance Studies)     ,453,430
1236,Course_Code,Course,Points1,Points2
1237,GY119,Arts (Journalism)                                 ,484,473
1238,Course_Code,Course,Points1,Points2
1239,GY122,Na Dána (Cumarsáid agus Gaeilge)                  ,410,
1240,Course_Code,Course,Points1,Points2
1241,GY123,Applied Social Sciences                           ,419,
1242,Course_Code,Course,Points1,Points2
1243,GY125,Arts (Digital Arts and Technology)                ,403,
1244,Course_Code,Course,Points1,Points2
1245,GY127,Arts (Film and Digital Media)                     ,430,421
1246,Course_Code,Course,Points1,Points2
1247,GY128,Arts (Global Languages)                           ,346,
1248,Course_Code,Course,Points1,Points2
1249,GY129,Arts (Global Experience)                          ,465,
1250,Course_Code,Course,Points1,Points2
1251,GY130,Arts (Music)                                      ,462,
1252,Course_Code,Course,Points1,Points2
1253,GY132,Government (Politics  Economics and Law)          ,465,451
1254,Course_Code,Course,Points1,Points2
1255,GY133,Education (Computer Science and Mathematical Studi,454,
1256,Course_Code,Course,Points1,Points2
1257,GY134,Geography and Geosystems                          ,425,
1258,Course_Code,Course,Points1,Points2
1259,GY135,Arts (Global Media)                               ,442,
1260,Course_Code,Course,Points1,Points2
1261,GY136,Na Dána (Léann Teanga - options)                  ,526,
1262,Course_Code,Course,Points1,Points2
1263,GY201,Commerce                                          ,476,
1264,Course_Code,Course,Points1,Points2
1265,GY202,Commerce (International) with French              ,520,
1266,Course_Code,Course,Points1,Points2
1267,GY203,Commerce (International) with German              ,518,
1268,Course_Code,Course,Points1,Points2
1269,GY204,Commerce (International) with Spanish             ,506,
1270,Course_Code,Course,Points1,Points2
1271,GY206,Business Information Systems (Work Placement and O,509,
1272,Course_Code,Course,Points1,Points2
1273,GY207,Commerce (Accounting) including optional Global Ex,543,
1274,Course_Code,Course,Points1,Points2
1275,GY208,Commerce (Gaeilge)                                ,508,
1276,Course_Code,Course,Points1,Points2
1277,GY209,Commerce (Global Experience)                      ,551,
1278,Course_Code,Course,Points1,Points2
1279,GY250,Law and Business                                  ,510,
1280,Course_Code,Course,Points1,Points2
1281,GY251,Law (BCL)                                         ,542,
1282,Course_Code,Course,Points1,Points2
1283,GY252,Law (BCL) and Human Rights                        ,565,
1284,Course_Code,Course,Points1,Points2
1285,GY253,Law and Taxation                                  ,506,
1286,Course_Code,Course,Points1,Points2
1287,GY254,Law (BCL)  Criminology and Criminal Justice       ,548,
1288,Course_Code,Course,Points1,Points2
1289,GY261,Business Studies in International Hotel Management,#503,
1290,Course_Code,Course,Points1,Points2
1291,GY262,Commerce in International Hotel Management (interv,#709,
1292,Course_Code,Course,Points1,Points2
1293,GY301,Science                                           ,489,488
1294,Course_Code,Course,Points1,Points2
1295,GY303,Biomedical Science                                ,613,
1296,Course_Code,Course,Points1,Points2
1297,GY304,Biotechnology                                     ,498,495
1298,Course_Code,Course,Points1,Points2
1299,GY308,Environmental Science                             ,431,430
1300,Course_Code,Course,Points1,Points2
1301,GY309,Financial Mathematics and Economics               ,509,
1302,Course_Code,Course,Points1,Points2
1303,GY310,Marine Science                                    ,467,
