Course_Code,Course_Title,finalPoints2021,finalPoints2020,finalPoints2019
TL858,Veterinary Bioscience,,308.0,326.0
TL871,Health and Leisure (Degree Award options),,300.0,303.0
TL872,Health and Leisure with Massage,,309.0,288.0
TL873,Coaching and Sports Performance,,289.0,282.0
TL874,Inclusive Sport and Physical Activity,,,
TL880,Early Childhood Care and Education,,307.0,307.0
TL881,Social Care,,308.0,308.0
TL889,Counselling with Addiction - Mature applicants onl,,,
TL890,General Nursing and Mature Applicants,,414.0,407.0
TL891,Mental Health Nursing and Mature Applicants,,378.0,
TR002,Music,,429.0,
TR003,History,,493.0,486.0
TR004,Law,,565.0,532.0
TR005,Philosophy,,442.0,391.0
TR006,Psychology,,555.0,
TR007,Clinical Speech and Language Studies,,529.0,499.0
TR009,Music Education,,420.0,
TR012,History and Political Science,,554.0,
TR015,"Philosophy, Political Science, Economics and Sociology",,589.0,566.0
TR016,Deaf Studies,,340.0,337.0
TR017,Law and Business,,602.0,576.0
TR018,Law and French,,565.0,
TR019,Law and German,,542.0,523.0
TR020,Law and Political Science,,602.0,567.0
TR021,"Classics, Ancient History and Archaeology",,370.0,377.0
TR022,Early and Modern Irish,,398.0,347.0
TR023,English Studies,,476.0,463.0
TR024,European Studies,,542.0,520.0
TR025,Drama and Theatre Studies,,530.0,
TR028,Ancient and Medieval History and Culture,,342.0,339.0
TR029,Political Science and Geography,,520.0,477.0
TR031,Mathematics,,531.0,566.0
TR032,Engineering,,509.0,
TR033,Computer Science,,509.0,
TR034,Management Science and Information Systems Studies,,613.0,
TR035,Theoretical Physics,,543.0,554.0
TR038,Engineering with Management,,532.0,499.0
TR039,Computer Science and Language,,424.0,435.0
TR040,Middle Eastern and European Languages and Cultures,,466.0,485.0
TR041,Religion,,368.0,347.0
TR042,Film,,476.0,
TR043,History of Art and Architecture,,354.0,
TR051,Medicine (HPAT required),,734.0,
TR052,Dental Science,,613.0,
TR053,Physiotherapy,,566.0,
TR054,Occupational Therapy,,533.0,500.0
TR055,Radiation Therapy,,543.0,510.0
TR056,Human Health and Disease,,565.0,543.0
TR060,Biological and Biomedical Sciences,,543.0,
TR061,Chemical Sciences,,510.0,
TR062,Geography and Geoscience,,473.0,435.0
TR063,Physical Sciences,,498.0,
TR064,Environmental Science and Engineering,,,
TR072,Pharmacy,,590.0,
TR080,Global Business,,589.0,565.0
TR081,"Business, Economic and Social Studies (BESS)",,543.0,
TR082,Computer Science and Business,,555.0,510.0
TR083,Sociology and Social Policy,,487.0,451.0
TR084,Social Studies (Social Work),,462.0,
TR085,Business Studies and French,,531.0,509.0
TR086,Business Studies and German,,499.0,474.0
TR087,Business Studies and Russian,,465.0,467.0
TR089,Business Studies and Polish,,424.0,393.0
TR090,Business Studies and Spanish,,531.0,510.0
TR091,General Nursing (Meath and St James`s),,429.0,
TR093,General Nursing (Adelaide School of Nursing),,429.0,
TR095,Mental Health Nursing,,408.0,358.0
TR097,Intellectual Disability Nursing,,396.0,346.0
TR111,Ancient History and Archaeology/Geography,,352.0,
TR112,Ancient History and Archaeology/History,,529.0,
TR113,Ancient History and Archaeology/History of Art and Architecture,,337.0,
TR114,Ancient History and Archaeology/Modern Language,,337.0,
TR117,Ancient History and Archaeology/Religion,,342.0,
TR166,Classical Civilisation/English Literature,,496.0,
TR173,Classical Civilisation/History of Art and Architecture,,335.0,
TR177,Classical Civilisation/Modern Language,,335.0,
TR179,Classical Civilisation/Philosophy,,499.0,
TR198,Economics/Geography,,534.0,
TR202,Economics/History,,534.0,
TR207,Economics/Mathematics,,566.0,
TR208,Economics/Modern Language,,534.0,
TR209,Economics/Philosophy,,534.0,
TR212,Economics/Sociology,,534.0,
TR228,Classical Languages/English Literature,,498.0,
TR231,Classical Languages/History of Art and Architecture,,349.0,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,349.0,
TR239,Classical Languages/Modern Language,,349.0,
TR262,English Literature/History,,529.0,
TR263,English Literature/History of Art and Architecture,,497.0,
TR269,English Literature/Philosophy,,499.0,
TR272,English Literature/Sociology,,498.0,
TR276,English Literature/Drama Studies,,498.0,
TR277,English Literature/Modern Language,,495.0,
TR311,Film/Drama Studies,,521.0,
TR312,Film/English Literature,,521.0,
TR320,Film/Music,,521.0,
TR322,Geography/History,,529.0,
TR323,Drama Studies/Modern Language,,473.0,
TR324,Film/Modern Language,,521.0,
TR325,Film/History,,529.0,
TR326,Geography/Modern Language,,352.0,
TR332,Geography/Sociology,,496.0,
TR443,History/History of Art and Architecture,,529.0,
TR447,History/Modern Language,,529.0,
TR449,History/Philosophy,,529.0,
TR452,History/Sociology,,529.0,
TR454,History/Religion,,529.0,
TR455,History of Art and Architecture/Modern Language,,334.0,
TR479,History of Art and Architecture/Philosophy,,499.0,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,337.0,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,335.0,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,529.0,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,335.0,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,342.0,
TR597,Mathematics/Modern Language,,566.0,
TR598,Mathematics/Music,,566.0,
TR599,Mathematics/Philosophy,,566.0,
TR629,Music/Philosophy,,499.0,
TR635,Music/Drama Studies,,473.0,
TR636,Music/Modern Language,,388.0,
TR638,Music/Religion,,388.0,
TR639,Philosophy/Modern Language,,499.0,
TR662,Philosophy/Sociology,,499.0,
TR663,Religion/Classical Civilisation,,342.0,
TR664,Religion/English Literature,,498.0,
TR665,Religion/History of Art and Architecture,,342.0,
TR666,Religion/Modern Language,,,
TR667,French/Modern Language,,403.0,
TR668,German/Modern Language,,389.0,
TR669,Irish/Modern Language,,368.0,
TR670,Italian/Modern Language,,381.0,
TR671,Russian/Modern Language,,332.0,
TR672,Spanish/Modern Language,,336.0,
TR755,Sociology/Drama Studies,,498.0,
TR756,Sociology/Modern Language,,495.0,
TR801,Dental Nursing,,419.0,
TR802,Dental Hygiene,,511.0,
TR803,Dental Technology,,486.0,
TR911,Children`s and General Nursing (Integrated),,510.0,
TR913,Midwifery,,477.0,423.0
TU601,Electronic Engineering,,232.0,
TU602,Computer Engineering,,223.0,
TU603,Mechanical Engineering,,197.0,
TU641,Bar and Restaurant Management,,223.0,
TU642,Culinary Arts,,153.0,
TU643,Culinary Arts (Professional Cookery Practic,,236.0,
TU644,Food Management and Entrepreneurship,,223.0,
TU645,Food Science and Management,,241.0,
TU651,Applied Biology,,196.0,
TU652,Computing,,194.0,
TU653,Computing (Information Technology),,245.0,
TU654,Pharmacy Technician Studies,,321.0,
TU655,Computing (Networking Technologies) Learn and Work,,335.0,
TU671,Business,,226.0,
TU672,Business (Common entry),,179.0,
TU673,Business Management,,300.0,
TU674,Business Studies,,300.0,
TU675,Marketing,,301.0,
TU676,Retail Management and Marketing,,290.0,
TU701,Automation Engineering,,260.0,
TU702,Biomedical Design,,232.0,
TU703,Building Engineering,,260.0,
TU704,Civil Engineering,,262.0,
TU705,Electrical and Control Engineering,,243.0,
TU706,Electrical Services Engineering,,244.0,
TU707,Electronic Engineering,,224.0,
TU708,Engineering (Common Entry with Award options),,225.0,
TU709,Engineering (General Entry),,370.0,
TU710,Engineering Reliability Management,,244.0,
TU711,Mechatronic Engineering,,223.0,
TU712,Sustainable Energy and Environmental Engineering,,180.0,
TU713,Computer Engineering,,221.0,
TU714,Electronics and Communications Engineering,,264.0,
TU715,Engineering Software,,181.0,
TU716,Networking Technology,,241.0,
TU717,Mechanical Engineering,,300.0,
TU718,Mechanical Engineering,,198.0,
TU719,"Design,Technology and Innovation",,228.0,
TU720,Automotive Management and Technology,,232.0,
TU721,Aviation Technology,,350.0,
TU722,Process Instrumentation and Automation Learn and Work,,292.0,
TU731,"Auctioneering, Valuation and Estate Agency",,290.0,
TU732,Timber Product Technology,,198.0,
TU735,Sports Management and Coaching,,270.0,
TU736,Sports Science and Health,,391.0,
TU741,Baking and Pastry Arts Management,,234.0,
TU742,Culinary Arts,,155.0,
TU745,Hospitality Management,,245.0,
TU746,International Hospitality and Tourism Management,,170.0,
TU747,Tourism Management,,242.0,
TU751,Biosciences,,407.0,
TU752,DNA and Forensic Analysis,,390.0,
TU754,Industrial and Environmental Physics,,270.0,
TU755,Science (General Entry),,361.0,
TU756,Computing,,195.0,
TU757,Computing (Information Technology),,225.0,
TU758,Digital Forensics and Cyber Security,,220.0,
TU759,Information Technology Management,,211.0,
TU760,Bioanalysis,,204.0,
TU761,Ophthalmic Dispensing,,302.0,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,,364.0,
TU763,Pharmaceutical Science,,349.0,
TU771,Business,,224.0,
TU772,Business (Common Entry with Award options),,,
TU774,Management,,195.0,
TU775,Accounting and Finance,,260.0,
TU776,Accounting and Finance,,175.0,
TU777,Business and Information Technology,,244.0,
TU778,International Business,,224.0,
TU779,International Business,,180.0,
TU780,Advertising and Marketing Communications,,179.0,
TU781,Digital Marketing,,220.0,
TU782,Digital Marketing,,179.0,
TU783,Marketing,,189.0,
TU791,Applied Social Studies in Social Care,,320.0,
TU792,Community and Youth Development,,101.0,
TU793,Early Childhood Care and Education,,220.0,
TU794,Early Childhood Care and Education,,250.0,
TU795,Visual Merchandising and Display,,481.0,
TU796,Creative Digital Media,,225.0,
TU801,Sustainable Energy Engineering,,235.0,
TU802,Electrical Services and Energy Management,,300.0,
TU803,Electronic Engineering,,243.0,
TU804,Engineering (Common Entry with Award options),,271.0,
TU805,Engineering (General Entry),,402.0,
TU806,Sustainable Energy Engineering,,262.0,
TU807,Computer Engineering in Mobile Systems,,276.0,
TU808,Engineering Software,,260.0,
TU809,Mechanical Engineering,,235.0,
TU810,Mechatronic Engineering,,270.0,
TU811,Product Design,,411.0,
TU812,Design Technology and Innovation,,270.0,
TU813,Automation Engineering,,218.0,
TU814,Transport Operations and Technology,,251.0,
TU828,Mechanical Engineering (General Entry),,,
TU829,Electronic Engineering (General Entry),,,
TU831,Architectural Technology,,410.0,
TU832,Architecture (Suitability Test and Interview),,622.0,
TU833,Construction Management,,367.0,
TU834,Geographic Science,,288.0,
TU835,Planning and Environmental Management,,313.0,
TU836,Property Economics (Valuation Surveying),,401.0,
TU837,Quantity Surveying and Construction Economics,,385.0,
TU838,Sustainable Timber Technology,,,
TU851,Analytical Chemistry (Environmental  Forensic and,,349.0,
TU852,Chemical Sciences with Medicinal Chemistry,,476.0,
TU854,Science (General Entry),,476.0,
TU855,Science with Nanotechnology,,319.0,
TU856,Computer Science,,476.0,
TU857,Computer Science (Infrastructur,,391.0,
TU858,Computer Science (International),,377.0,
TU859,Computing,,217.0,
TU860,Computing (Information Technology),,260.0,
TU861,Computing with Language (French/German/Spanish),,308.0,
TU862,Computing with Data Analytics,,226.0,
TU863,Digital Forensics and Cyber Security,,280.0,
TU864,DNA and Forensic Analysis,,390.0,
TU865,Cloud Computing,,226.0,
TU866,Biomedical and Molecular Diagnostics,,487.0,
TU867,Biomedical Science,,524.0,
TU868,Clinical Measurement Science,,510.0,
TU869,Environmental Health,,336.0,
TU870,Human Nutrition and Dietetics,,578.0,
TU871,Optometry,,509.0,
TU872,Public Health Nutrition,,491.0,
TU873,Industrial Mathematics,,250.0,
TU874,Mathematical Sciences,,341.0,
TU875,Pharmaceutical Healthcare,,400.0,
TU876,Pharmaceutical Science,,349.0,
TU877,Physics Technology,,308.0,
TU878,Physics with Energy and Environment,,337.0,
TU879,Physics with Medical Physics and Bioengineering,,351.0,
TU880,Physics with Data Science,,578.0,
TU881,Food Innovation,,318.0,
TU882,Nutraceuticals in Health and Nutrition,,397.0,
TU901,Business,,270.0,
TU902,Business (Common Entry with Award options),,271.0,
TU903,Business and Management,,463.0,
TU904,Business and Law,,462.0,
TU905,Economics and Finance,,465.0,
TU906,Human Resource Management,,395.0,
TU907,Logistics and Supply Chain Management,,300.0,
TU908,Management,,253.0,
TU909,Accounting and Finance,,285.0,
TU910,Accounting,,444.0,
TU911,Accounting and Finance,,192.0,
TU912,Business Analytics,,330.0,
TU913,Business and Information Technology,,252.0,
TU914,Business Computing,,324.0,
TU915,International Business,,252.0,
TU916,International Business,,235.0,
TU917,Law (LLB ) with a Language,,342.0,
TU918,Law (LLB),,451.0,
TU919,Advertising and Marketing Communications,,226.0,
TU920,Digital Marketing,,270.0,
TU921,Digital Marketing Technologies,,212.0,
TU922,Marketing,,418.0,
TU923,Marketing Management,,228.0,
TU924,E-Commerce in Retailing,,307.0,
TU925,Retail and Services Management,,301.0,
TU932,Business (options),,,
TU933,Accounting and Finance (campus options),,,
TU935,Sports Management and Coaching,,300.0,
TU936,Sports Science and Health,,391.0,
TU941,Botanical Cuisine,,249.0,
TU942,Culinary Arts,,212.0,
TU943,Culinary Entrepreneurship,,278.0,
TU944,Culinary Science,,316.0,
TU951,International Hospitality and Tourism Management,,184.0,
TU952,International Hospitality Management,,300.0,
TU953,Tourism and Digital Marketing,,290.0,
TU954,Event Management,,356.0,
TU955,Sports and Leisure Management,,217.0,
TU961,Commercial Modern Music (BIMM - assessment/auditio,,608.0,
TU962,Drama (Performance  audition),,379.0,
TU963,Music (audition),,416.0,
TU965,International Business and Languages,,346.0,
TU966,Languages and English Studies,,366.0,
TU967,Languages and International Tourism,,308.0,
TU971,Contemporary Visual Culture,,290.0,
TU972,Creative and Cultural Industries,,281.0,
TU973,Design - Visual Communication (portfolio),,717.0,
TU974,Fine Art (portfolio),,563.0,
TU975,Interior Design (portfolio),,632.0,
TU976,Photography (portfolio),,695.0,
TU978,Creative Industries and Visual Culture,,,
TU981,Creative Digital Media,,280.0,
TU982,Creative Digital Media,,311.0,
TU983,Film and Broadcasting,,451.0,
TU984,Game Design,,381.0,
TU985,Journalism,,322.0,
TU986,Print Media Technology and Management,,289.0,
TU989,Early Childhood Care and Education (campus options,,,
TU991,Applied Social Studies in Social Care,,325.0,
TU992,Community Development and Youth Work,,251.0,
TU993,Early Childhood Care and Education,,270.0,
TU994,Early Childhood Care and Education,,251.0,
TU995,Early Childhood Education,,367.0,
TU996,Social Care,,400.0,
TU997,Applied Social Care,,283.0,
WD001,Applied Computing (options),,260.0,279.0
WD002,Science (options),,308.0,302.0
WD003,Business,,,
WD005,Health Sciences (options),,280.0,288.0
WD006,Exercise Sciences (options),,280.0,282.0
WD007,Engineering (options),,288.0,287.0
WD010,Electronic Engineering,,181.0,
WD011,Mechanical Engineering,,198.0,
WD013,Legal Studies,,177.0,
WD018,Applied Social Care,,171.0,
WD019,Recreation and Sport Management,,174.0,
WD025,Construction Management and Engineering,,269.0,269.0
WD027,Music,,262.0,
WD048,Business (options),,271.0,278.0
WD076,Forestry,,243.0,
WD084,Accounting,,308.0,307.0
WD091,Hospitality Management,,228.0,210.0
WD094,Architectural Technology,,150.0,
WD096,Horticulture (Waterford - Kildalton),,260.0,
WD097,Horticulture (Dublin - National Botanic Gardens),,,
WD116,General Nursing,,422.0,413.0
WD117,Psychiatric Nursing,,366.0,361.0
WD120,Intellectual Disability Nursing,,377.0,338.0
WD126,Agriculture,,327.0,
WD134,International Business,,290.0,289.0
WD137,Design (Visual Communications),,271.0,253.0
WD139,Civil Engineering,,206.0,
WD140,Laws,,280.0,290.0
WD144,Architecture,,284.0,283.0
WD147,Pharmaceutical Science,,293.0,298.0
WD148,Tourism Marketing,,,269.0
WD149,Early Childhood Studies,,271.0,288.0
WD150,Criminal Justice Studies,,270.0,271.0
WD151,Software Systems Development,,,
WD152,Visual Art,,,253.0
WD153,Multimedia Applications Development,,163.0,
WD155,Information Technology,,211.0,
WD159,Business,,195.0,
WD161,Computer Forensics and Security,,255.0,262.0
WD162,Quantity Surveying,,216.0,260.0
WD163,Psychology,,434.0,390.0
WD164,Food Science with Business,,309.0,
WD172,Culinary Arts,,,
WD173,Hospitality Studies,,,
WD174,Tourism,,,
WD175,Pharmaceutical Science,,226.0,
WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",,222.0,
WD182,Electrical Engineering,,,
WD184,Retail Management,,163.0,
WD186,Sports Coaching and Performance,,270.0,276.0
WD187,Social Science,,272.0,271.0
WD188,Applied Health Care,,201.0,
WD191,Agricultural Science,,377.0,378.0
WD192,Social Care Practice,,270.0,279.0
WD193,Marketing and Digital Media,,271.0,290.0
WD194,Culinary Arts,,217.0,235.0
WD195,Architectural and Building Information Modelling T,,279.0,266.0
WD200,Arts (options),,,221.0
WD205,Molecular Biology with Biopharmaceutical Science,,228.0,
WD206,Electronic Engineering,,179.0,
WD207,Mechanical Engineering,,198.0,
WD208,Manufacturing Engineering,,188.0,
WD210,Software Systems Development,,279.0,271.0
WD211,Creative Computing,,271.0,275.0
WD212,Recreation and Sport Management,,270.0,274.0
WD230,Mechanical and Manufacturing Engineering,,253.0,273.0
WD231,Early Childhood Care and Education,,,
WD232,Business Information Systems,,,
